iter	Passed	Remaining
0	13	34566
1	27	34239
2	42	35121
3	55	34840
4	70	35411
5	83	34943
6	98	34987
7	112	35158
8	127	35274
9	143	35680
10	159	36080
11	175	36426
12	191	36646
13	205	36644
14	220	36655
15	235	36635
16	249	36442
17	262	36334
18	277	36349
19	292	36289
20	306	36231
21	322	36376
22	342	36973
23	360	37310
24	376	37383
25	392	37409
26	408	37537
27	424	37592
28	441	37710
29	456	37692
30	472	37697
31	486	37609
32	502	37607
33	516	37523
34	530	37433
35	546	37471
36	559	37337
37	573	37237
38	587	37138
39	600	37015
40	613	36893
41	626	36768
42	639	36639
43	653	36578
44	666	36453
45	680	36389
46	695	36387
47	708	36284
48	721	36175
49	735	36132
50	749	36078
51	763	36027
52	777	35954
53	791	35937
54	805	35897
55	821	35905
56	834	35851
57	848	35808
58	861	35710
59	874	35645
60	888	35588
61	901	35516
62	915	35470
63	928	35405
64	941	35342
65	954	35263
66	966	35181
67	979	35089
68	991	34990
69	1004	34933
70	1016	34852
71	1029	34793
72	1042	34737
73	1055	34683
74	1068	34616
75	1081	34557
76	1094	34499
77	1107	34445
78	1120	34399
79	1132	34340
80	1145	34286
81	1159	34252
82	1172	34227
83	1187	34230
84	1201	34220
85	1215	34202
86	1229	34172
87	1241	34105
88	1254	34049
89	1267	34018
90	1281	33985
91	1294	33948
92	1308	33932
93	1323	33940
94	1336	33916
95	1351	33907
96	1363	33858
97	1376	33807
98	1389	33768
99	1402	33729
100	1416	33712
101	1430	33703
102	1444	33676
103	1457	33653
104	1472	33647
105	1485	33619
106	1498	33589
107	1512	33559
108	1525	33535
109	1539	33513
110	1553	33505
111	1568	33506
112	1583	33512
113	1598	33518
114	1614	33545
115	1628	33538
116	1642	33517
117	1654	33477
118	1669	33468
119	1682	33443
120	1696	33420
121	1709	33395
122	1723	33376
123	1736	33351
124	1750	33332
125	1764	33314
126	1778	33292
127	1791	33271
128	1805	33251
129	1818	33229
130	1832	33202
131	1845	33172
132	1858	33152
133	1872	33140
134	1888	33148
135	1903	33164
136	1918	33163
137	1932	33152
138	1947	33156
139	1961	33143
140	1976	33138
141	1990	33123
142	2005	33127
143	2020	33120
144	2033	33098
145	2047	33079
146	2061	33064
147	2075	33059
148	2089	33043
149	2103	33030
150	2117	33007
151	2131	32994
152	2144	32967
153	2158	32945
154	2171	32924
155	2186	32918
156	2202	32937
157	2216	32925
158	2230	32906
159	2243	32878
160	2256	32859
161	2270	32832
162	2283	32808
163	2298	32812
164	2312	32796
165	2324	32759
166	2338	32744
167	2352	32718
168	2366	32714
169	2382	32728
170	2397	32723
171	2411	32703
172	2424	32680
173	2438	32664
174	2451	32635
175	2464	32616
176	2478	32595
177	2491	32575
178	2505	32552
179	2519	32549
180	2532	32521
181	2547	32512
182	2560	32485
183	2572	32454
184	2586	32432
185	2599	32410
186	2612	32389
187	2626	32369
188	2638	32333
189	2651	32308
190	2664	32280
191	2677	32256
192	2690	32232
193	2702	32196
194	2714	32159
195	2728	32143
196	2742	32135
197	2756	32120
198	2770	32103
199	2783	32084
200	2797	32061
201	2809	32030
202	2822	32008
203	2835	31985
204	2848	31961
205	2863	31954
206	2877	31944
207	2890	31917
208	2903	31892
209	2916	31868
210	2929	31848
211	2943	31839
212	2956	31815
213	2970	31795
214	2983	31779
215	2998	31773
216	3011	31757
217	3026	31754
218	3040	31734
219	3053	31716
220	3067	31701
221	3081	31689
222	3094	31670
223	3107	31648
224	3121	31629
225	3135	31613
226	3149	31606
227	3164	31601
228	3180	31608
229	3197	31624
230	3214	31639
231	3232	31672
232	3251	31703
233	3268	31718
234	3285	31738
235	3304	31772
236	3320	31772
237	3336	31784
238	3350	31767
239	3364	31751
240	3378	31737
241	3393	31729
242	3408	31724
243	3422	31717
244	3436	31703
245	3450	31683
246	3463	31666
247	3477	31650
248	3491	31636
249	3504	31614
250	3518	31597
251	3532	31578
252	3545	31561
253	3560	31550
254	3573	31529
255	3587	31512
256	3600	31497
257	3614	31478
258	3627	31460
259	3641	31444
260	3654	31423
261	3667	31396
262	3680	31378
263	3694	31359
264	3707	31335
265	3720	31320
266	3734	31300
267	3747	31282
268	3761	31263
269	3774	31244
270	3788	31233
271	3802	31219
272	3816	31200
273	3829	31182
274	3843	31164
275	3856	31146
276	3869	31124
277	3883	31106
278	3896	31090
279	3909	31068
280	3923	31050
281	3937	31042
282	3952	31033
283	3965	31015
284	3979	30996
285	3992	30980
286	4005	30956
287	4019	30938
288	4031	30915
289	4045	30897
290	4059	30883
291	4072	30860
292	4086	30847
293	4099	30829
294	4113	30816
295	4126	30798
296	4140	30778
297	4153	30761
298	4166	30741
299	4180	30724
300	4193	30704
301	4207	30691
302	4221	30677
303	4236	30669
304	4252	30672
305	4268	30675
306	4285	30680
307	4301	30679
308	4317	30685
309	4333	30683
310	4347	30672
311	4362	30662
312	4376	30652
313	4390	30638
314	4405	30631
315	4420	30624
316	4436	30618
317	4449	30599
318	4462	30583
319	4476	30566
320	4492	30564
321	4505	30544
322	4518	30522
323	4531	30504
324	4545	30486
325	4559	30472
326	4573	30458
327	4586	30439
328	4600	30427
329	4614	30414
330	4628	30397
331	4640	30375
332	4653	30354
333	4667	30336
334	4680	30321
335	4694	30303
336	4708	30292
337	4724	30286
338	4738	30277
339	4752	30263
340	4765	30244
341	4778	30220
342	4791	30200
343	4803	30176
344	4816	30157
345	4829	30137
346	4843	30123
347	4857	30107
348	4870	30087
349	4883	30071
350	4899	30066
351	4912	30048
352	4925	30028
353	4940	30018
354	4955	30010
355	4968	29995
356	4983	29986
357	4999	29982
358	5013	29967
359	5026	29951
360	5039	29931
361	5052	29910
362	5065	29893
363	5079	29876
364	5093	29860
365	5106	29845
366	5120	29828
367	5133	29809
368	5146	29793
369	5159	29772
370	5172	29752
371	5185	29735
372	5198	29714
373	5211	29695
374	5225	29682
375	5240	29672
376	5253	29655
377	5268	29643
378	5285	29648
379	5299	29634
380	5312	29616
381	5325	29598
382	5338	29580
383	5352	29561
384	5364	29540
385	5377	29518
386	5390	29503
387	5404	29486
388	5417	29469
389	5430	29449
390	5443	29429
391	5456	29412
392	5471	29402
393	5485	29392
394	5501	29388
395	5516	29378
396	5529	29363
397	5544	29353
398	5558	29339
399	5571	29321
400	5585	29304
401	5599	29293
402	5614	29285
403	5629	29277
404	5644	29267
405	5658	29256
406	5674	29249
407	5689	29240
408	5702	29224
409	5717	29213
410	5732	29204
411	5747	29196
412	5760	29180
413	5774	29164
414	5788	29150
415	5804	29145
416	5819	29138
417	5832	29123
418	5846	29108
419	5860	29092
420	5873	29075
421	5887	29062
422	5902	29050
423	5916	29036
424	5929	29019
425	5942	29002
426	5955	28983
427	5969	28968
428	5983	28953
429	5996	28937
430	6010	28922
431	6024	28909
432	6038	28894
433	6051	28878
434	6064	28858
435	6077	28840
436	6090	28823
437	6103	28805
438	6116	28786
439	6130	28770
440	6143	28751
441	6156	28736
442	6170	28720
443	6183	28704
444	6196	28686
445	6209	28668
446	6223	28653
447	6236	28634
448	6249	28617
449	6263	28601
450	6281	28607
451	6299	28611
452	6316	28613
453	6332	28606
454	6347	28598
455	6361	28586
456	6376	28573
457	6390	28561
458	6404	28547
459	6418	28535
460	6433	28524
461	6447	28511
462	6462	28501
463	6477	28494
464	6493	28488
465	6509	28484
466	6526	28481
467	6541	28471
468	6555	28459
469	6571	28453
470	6587	28449
471	6603	28440
472	6618	28433
473	6634	28425
474	6650	28421
475	6667	28420
476	6681	28406
477	6695	28393
478	6709	28379
479	6724	28369
480	6738	28355
481	6752	28340
482	6766	28324
483	6779	28308
484	6792	28290
485	6806	28277
486	6820	28260
487	6833	28243
488	6846	28226
489	6861	28214
490	6875	28200
491	6888	28184
492	6902	28169
493	6915	28151
494	6928	28134
495	6942	28119
496	6955	28102
497	6968	28083
498	6981	28066
499	6994	28048
500	7007	28030
501	7020	28012
502	7033	27995
503	7046	27976
504	7061	27965
505	7075	27954
506	7090	27944
507	7105	27931
508	7119	27916
509	7133	27902
510	7146	27886
511	7159	27870
512	7172	27849
513	7185	27832
514	7199	27818
515	7213	27803
516	7226	27788
517	7239	27770
518	7254	27760
519	7269	27748
520	7283	27736
521	7297	27723
522	7311	27708
523	7325	27694
524	7341	27686
525	7354	27671
526	7368	27656
527	7382	27641
528	7395	27623
529	7408	27608
530	7423	27595
531	7436	27578
532	7448	27559
533	7462	27543
534	7475	27525
535	7488	27508
536	7501	27490
537	7514	27473
538	7527	27458
539	7541	27441
540	7553	27422
541	7566	27403
542	7579	27386
543	7592	27369
544	7606	27354
545	7618	27335
546	7631	27316
547	7646	27307
548	7659	27289
549	7672	27272
550	7685	27255
551	7699	27239
552	7713	27226
553	7727	27212
554	7740	27196
555	7753	27177
556	7765	27159
557	7778	27142
558	7792	27126
559	7805	27109
560	7818	27093
561	7832	27078
562	7849	27074
563	7865	27068
564	7882	27064
565	7896	27050
566	7910	27039
567	7924	27024
568	7939	27012
569	7953	27001
570	7968	26989
571	7982	26975
572	7995	26960
573	8009	26945
574	8023	26929
575	8036	26914
576	8049	26898
577	8068	26898
578	8082	26884
579	8097	26874
580	8111	26861
581	8124	26845
582	8138	26830
583	8152	26815
584	8165	26799
585	8178	26783
586	8192	26768
587	8206	26753
588	8220	26742
589	8235	26730
590	8251	26723
591	8265	26709
592	8278	26691
593	8292	26679
594	8306	26663
595	8319	26647
596	8334	26637
597	8350	26628
598	8365	26619
599	8378	26603
600	8391	26585
601	8404	26568
602	8417	26550
603	8431	26535
604	8443	26518
605	8458	26504
606	8473	26494
607	8486	26479
608	8501	26466
609	8515	26452
610	8529	26439
611	8542	26424
612	8556	26410
613	8570	26396
614	8584	26381
615	8598	26368
616	8612	26354
617	8626	26340
618	8640	26326
619	8655	26314
620	8668	26299
621	8681	26282
622	8694	26265
623	8708	26250
624	8721	26234
625	8735	26219
626	8747	26201
627	8761	26186
628	8774	26169
629	8786	26151
630	8800	26135
631	8813	26119
632	8826	26102
633	8840	26087
634	8853	26071
635	8865	26054
636	8878	26036
637	8892	26021
638	8905	26006
639	8919	25991
640	8932	25976
641	8945	25958
642	8958	25941
643	8971	25924
644	8983	25906
645	8996	25888
646	9009	25873
647	9023	25860
648	9037	25844
649	9050	25829
650	9064	25814
651	9077	25797
652	9089	25779
653	9101	25760
654	9113	25741
655	9126	25724
656	9139	25707
657	9152	25689
658	9164	25671
659	9177	25654
660	9189	25636
661	9203	25621
662	9216	25605
663	9231	25596
664	9245	25582
665	9259	25567
666	9272	25552
667	9285	25535
668	9299	25520
669	9312	25504
670	9327	25494
671	9341	25480
672	9356	25468
673	9370	25455
674	9385	25444
675	9400	25433
676	9414	25420
677	9428	25406
678	9442	25393
679	9456	25379
680	9469	25363
681	9482	25348
682	9495	25331
683	9509	25316
684	9522	25300
685	9535	25285
686	9548	25269
687	9562	25253
688	9575	25238
689	9588	25222
690	9601	25206
691	9614	25190
692	9628	25175
693	9642	25163
694	9655	25147
695	9669	25131
696	9681	25114
697	9694	25097
698	9706	25079
699	9719	25062
700	9732	25046
701	9745	25030
702	9758	25014
703	9772	25001
704	9786	24986
705	9799	24970
706	9813	24956
707	9826	24940
708	9839	24924
709	9852	24909
710	9865	24893
711	9878	24877
712	9892	24862
713	9905	24847
714	9918	24832
715	9932	24816
716	9945	24800
717	9958	24786
718	9971	24770
719	9986	24757
720	10000	24744
721	10016	24735
722	10031	24725
723	10045	24712
724	10060	24699
725	10074	24685
726	10088	24673
727	10102	24660
728	10115	24644
729	10129	24630
730	10142	24613
731	10156	24600
732	10170	24586
733	10184	24573
734	10199	24561
735	10214	24550
736	10230	24541
737	10245	24531
738	10261	24522
739	10275	24508
740	10288	24493
741	10302	24478
742	10316	24464
743	10329	24449
744	10343	24436
745	10358	24423
746	10371	24408
747	10386	24396
748	10400	24384
749	10416	24373
750	10430	24361
751	10444	24346
752	10457	24330
753	10470	24315
754	10483	24299
755	10497	24285
756	10511	24271
757	10524	24255
758	10537	24239
759	10550	24223
760	10562	24206
761	10575	24190
762	10588	24173
763	10600	24156
764	10612	24139
765	10625	24123
766	10639	24108
767	10651	24091
768	10664	24074
769	10678	24060
770	10690	24044
771	10704	24029
772	10718	24015
773	10731	23999
774	10744	23983
775	10756	23967
776	10771	23954
777	10784	23938
778	10797	23924
779	10810	23908
780	10823	23892
781	10836	23876
782	10849	23859
783	10862	23844
784	10874	23826
785	10887	23810
786	10898	23792
787	10911	23774
788	10923	23758
789	10936	23741
790	10949	23725
791	10963	23712
792	10977	23699
793	10991	23686
794	11006	23673
795	11019	23657
796	11032	23643
797	11046	23629
798	11059	23613
799	11072	23597
800	11086	23583
801	11100	23570
802	11113	23555
803	11126	23540
804	11139	23524
805	11154	23512
806	11167	23498
807	11181	23483
808	11194	23468
809	11209	23456
810	11224	23444
811	11236	23428
812	11250	23414
813	11263	23397
814	11276	23383
815	11290	23368
816	11304	23355
817	11317	23339
818	11330	23324
819	11343	23309
820	11355	23292
821	11369	23277
822	11382	23263
823	11395	23247
824	11410	23236
825	11426	23226
826	11441	23214
827	11455	23200
828	11468	23186
829	11481	23169
830	11493	23153
831	11506	23138
832	11520	23123
833	11533	23107
834	11545	23091
835	11559	23077
836	11573	23064
837	11586	23048
838	11599	23032
839	11612	23017
840	11625	23002
841	11638	22987
842	11651	22971
843	11664	22956
844	11677	22940
845	11690	22925
846	11703	22909
847	11716	22894
848	11730	22880
849	11743	22864
850	11756	22850
851	11771	22837
852	11786	22827
853	11800	22812
854	11813	22798
855	11827	22784
856	11840	22768
857	11854	22754
858	11867	22740
859	11880	22724
860	11893	22709
861	11906	22694
862	11919	22679
863	11933	22664
864	11945	22649
865	11959	22634
866	11972	22619
867	11985	22603
868	11998	22588
869	12011	22573
870	12024	22558
871	12038	22544
872	12051	22528
873	12063	22512
874	12075	22495
875	12089	22480
876	12102	22466
877	12115	22451
878	12129	22437
879	12142	22421
880	12154	22405
881	12167	22390
882	12181	22375
883	12196	22364
884	12211	22352
885	12224	22337
886	12236	22321
887	12249	22306
888	12263	22291
889	12276	22277
890	12289	22262
891	12302	22246
892	12316	22233
893	12330	22220
894	12344	22206
895	12357	22191
896	12371	22176
897	12384	22162
898	12399	22150
899	12413	22138
900	12428	22125
901	12442	22112
902	12456	22099
903	12469	22084
904	12482	22069
905	12496	22054
906	12509	22040
907	12525	22030
908	12540	22019
909	12556	22009
910	12573	22000
911	12589	21989
912	12604	21979
913	12618	21965
914	12633	21952
915	12647	21939
916	12661	21925
917	12673	21910
918	12688	21897
919	12702	21884
920	12716	21870
