iter	Passed	Remaining
0	30	64695
1	55	58869
2	81	57104
3	109	57549
4	137	57960
5	165	57823
6	192	57839
7	220	57884
8	246	57397
9	273	57430
10	298	56987
11	324	56638
12	348	56163
13	373	55824
14	397	55426
15	420	54942
16	441	54330
17	464	53968
18	487	53554
19	508	53048
20	531	52808
21	554	52542
22	578	52445
23	602	52348
24	625	52149
25	650	52063
26	671	51725
27	691	51373
28	712	51110
29	734	50904
30	755	50643
31	781	50698
32	804	50575
33	824	50319
34	847	50207
35	869	50073
36	891	49914
37	915	49883
38	939	49823
39	963	49838
40	987	49795
41	1012	49813
42	1035	49733
43	1059	49687
44	1079	49479
45	1100	49342
46	1123	49287
47	1146	49214
48	1167	49072
49	1190	49018
50	1213	48931
51	1235	48859
52	1270	49255
53	1322	50317
54	1351	50439
55	1374	50375
56	1399	50366
57	1427	50439
58	1454	50512
59	1486	50737
60	1513	50800
61	1545	50998
62	1575	51145
63	1610	51446
64	1644	51697
65	1670	51695
66	1694	51631
67	1716	51499
68	1738	51375
69	1762	51302
70	1785	51219
71	1809	51182
72	1832	51083
73	1856	51028
74	1881	51004
75	1904	50922
76	1927	50845
77	1950	50768
78	1976	50761
79	2000	50722
80	2025	50682
81	2048	50624
82	2074	50609
83	2101	50636
84	2127	50632
85	2148	50505
86	2172	50477
87	2195	50398
88	2217	50310
89	2240	50247
90	2263	50176
91	2288	50140
92	2313	50122
93	2340	50140
94	2363	50087
95	2388	50066
96	2412	50021
97	2437	49985
98	2465	50030
99	2495	50108
100	2521	50113
101	2544	50038
102	2564	49924
103	2588	49882
104	2612	49829
105	2634	49756
106	2657	49695
107	2678	49607
108	2706	49629
109	2729	49582
110	2754	49559
111	2780	49550
112	2807	49568
113	2832	49536
114	2857	49522
115	2883	49508
116	2909	49516
117	2934	49484
118	2959	49466
119	2981	49388
120	3006	49375
121	3029	49308
122	3052	49262
123	3076	49224
124	3100	49180
125	3125	49163
126	3149	49129
127	3172	49081
128	3197	49055
129	3220	48996
130	3245	48975
131	3269	48945
132	3293	48908
133	3333	49110
134	3358	49087
135	3383	49067
136	3406	49003
137	3429	48961
138	3456	48960
139	3481	48945
140	3507	48926
141	3534	48941
142	3558	48902
143	3583	48869
144	3605	48809
145	3630	48781
146	3654	48752
147	3678	48718
148	3702	48683
149	3726	48639
150	3754	48664
151	3786	48729
152	3811	48704
153	3831	48619
154	3854	48562
155	3879	48542
156	3901	48484
157	3923	48425
158	3947	48381
159	3971	48358
160	3999	48366
161	4024	48343
162	4050	48332
163	4074	48297
164	4100	48286
165	4125	48261
166	4153	48278
167	4181	48282
168	4204	48243
169	4230	48226
170	4253	48176
171	4276	48134
172	4301	48113
173	4325	48077
174	4349	48041
175	4372	47995
176	4397	47972
177	4421	47936
178	4443	47888
179	4466	47843
180	4490	47808
181	4514	47775
182	4538	47738
183	4564	47725
184	4588	47693
185	4613	47677
186	4638	47648
187	4661	47608
188	4682	47539
189	4712	47572
190	4734	47514
191	4757	47475
192	4779	47421
193	4804	47400
194	4829	47375
195	4853	47343
196	4878	47328
197	4904	47314
198	4931	47304
199	4959	47310
200	4987	47318
201	5015	47326
202	5044	47334
203	5070	47322
204	5094	47292
205	5119	47267
206	5143	47232
207	5166	47193
208	5190	47160
209	5216	47143
210	5245	47156
211	5271	47145
212	5295	47115
213	5319	47082
214	5340	47024
215	5364	46984
216	5390	46974
217	5413	46934
218	5438	46908
219	5461	46872
220	5487	46852
221	5515	46854
222	5544	46863
223	5568	46832
224	5591	46792
225	5615	46762
226	5643	46759
227	5668	46744
228	5693	46720
229	5720	46710
230	5749	46719
231	5779	46731
232	5804	46706
233	5828	46678
234	5854	46662
235	5878	46627
236	5902	46593
237	5925	46556
238	5951	46542
239	5977	46524
240	6002	46502
241	6027	46479
242	6053	46460
243	6077	46425
244	6100	46387
245	6121	46333
246	6143	46288
247	6167	46253
248	6192	46229
249	6216	46201
250	6241	46179
251	6268	46171
252	6296	46164
253	6321	46140
254	6345	46108
255	6370	46087
256	6395	46061
257	6419	46030
258	6444	46009
259	6471	46000
260	6496	45975
261	6521	45946
262	6545	45915
263	6571	45898
264	6601	45912
265	6627	45893
266	6650	45859
267	6673	45816
268	6698	45794
269	6721	45757
270	6746	45732
271	6776	45740
272	6809	45771
273	6841	45796
274	6873	45817
275	6905	45838
276	6940	45875
277	6975	45915
278	7013	45977
279	7036	45937
280	7065	45939
281	7091	45918
282	7117	45900
283	7142	45873
284	7168	45856
285	7191	45815
286	7215	45781
287	7238	45741
288	7261	45705
289	7284	45667
290	7309	45639
291	7333	45608
292	7359	45591
293	7384	45562
294	7410	45542
295	7435	45518
296	7457	45471
297	7479	45431
298	7503	45396
299	7527	45365
300	7550	45327
301	7574	45298
302	7599	45269
303	7625	45248
304	7647	45208
305	7670	45168
306	7695	45142
307	7720	45118
308	7743	45083
309	7767	45051
310	7793	45031
311	7820	45017
312	7843	44979
313	7865	44939
314	7888	44901
315	7911	44862
316	7936	44837
317	7959	44801
318	7981	44759
319	8010	44758
320	8034	44725
321	8057	44691
322	8082	44665
323	8108	44646
324	8133	44623
325	8159	44600
326	8186	44586
327	8213	44571
328	8241	44562
329	8268	44550
330	8292	44518
331	8313	44472
332	8337	44440
333	8359	44401
334	8382	44367
335	8406	44332
336	8429	44297
337	8453	44269
338	8477	44238
339	8500	44204
340	8524	44173
341	8547	44137
342	8571	44106
343	8596	44079
344	8624	44071
345	8650	44051
346	8674	44022
347	8699	43996
348	8723	43965
349	8745	43928
350	8771	43908
351	8795	43876
352	8820	43852
353	8844	43821
354	8867	43788
355	8889	43747
356	8912	43711
357	8938	43691
358	8964	43674
359	8990	43656
360	9024	43671
361	9053	43666
362	9082	43660
363	9108	43642
364	9135	43627
365	9161	43603
366	9183	43566
367	9207	43535
368	9230	43499
369	9254	43468
370	9276	43430
371	9299	43396
372	9322	43361
373	9347	43336
374	9369	43299
375	9391	43262
376	9412	43217
377	9437	43192
378	9461	43164
379	9487	43142
380	9515	43131
381	9542	43118
382	9566	43086
383	9594	43073
384	9619	43049
385	9645	43030
386	9672	43013
387	9698	42993
388	9723	42966
389	9746	42932
390	9769	42900
391	9796	42884
392	9825	42877
393	9859	42893
394	9896	42917
395	9925	42909
396	9956	42909
397	9986	42905
398	10016	42903
399	10047	42902
400	10079	42906
401	10105	42886
402	10130	42861
403	10156	42839
404	10181	42813
405	10207	42789
406	10231	42760
407	10254	42726
408	10277	42694
409	10302	42667
410	10333	42667
411	10359	42646
412	10384	42620
413	10410	42598
414	10433	42565
415	10458	42539
416	10482	42509
417	10507	42480
418	10531	42454
419	10559	42438
420	10582	42404
421	10611	42396
422	10666	42488
423	10707	42528
424	10742	42539
425	10766	42508
426	10790	42481
427	10815	42453
428	10839	42424
429	10863	42391
430	10887	42361
431	10910	42328
432	10934	42298
433	10958	42268
434	10982	42238
435	11007	42211
436	11032	42185
437	11061	42176
438	11086	42147
439	11109	42116
440	11131	42078
441	11153	42040
442	11176	42005
443	11199	41974
444	11224	41946
445	11247	41914
446	11273	41890
447	11295	41852
448	11318	41820
449	11343	41795
450	11373	41786
451	11400	41767
452	11425	41742
453	11451	41720
454	11478	41699
455	11505	41680
456	11531	41659
457	11554	41625
458	11576	41589
459	11599	41556
460	11622	41524
461	11648	41500
462	11675	41481
463	11702	41461
464	11725	41431
465	11749	41402
466	11772	41367
467	11795	41333
468	11819	41306
469	11844	41278
470	11871	41261
471	11899	41244
472	11924	41218
473	11949	41192
474	11973	41162
475	11994	41124
476	12018	41095
477	12042	41064
478	12064	41031
479	12088	41000
480	12112	40969
481	12134	40933
482	12156	40899
483	12178	40864
484	12201	40831
485	12224	40797
486	12248	40768
487	12271	40738
488	12298	40719
489	12322	40690
490	12347	40665
491	12372	40638
492	12396	40609
493	12417	40569
494	12440	40536
495	12463	40506
496	12485	40471
497	12507	40437
498	12536	40422
499	12566	40413
500	12597	40406
501	12624	40389
502	12653	40374
503	12689	40386
504	12734	40422
505	12772	40438
506	12803	40429
507	12834	40423
508	12865	40415
509	12889	40386
510	12918	40374
511	12948	40364
512	12978	40352
513	13005	40330
514	13033	40314
515	13063	40304
516	13095	40299
517	13125	40287
518	13153	40270
519	13182	40258
520	13217	40262
521	13247	40249
522	13277	40238
523	13306	40225
524	13334	40205
525	13361	40187
526	13388	40165
527	13418	40153
528	13450	40147
529	13478	40130
530	13516	40140
531	13549	40138
532	13581	40131
533	13608	40112
534	13643	40113
535	13678	40116
536	13708	40105
537	13738	40091
538	13765	40071
539	13793	40053
540	13822	40036
541	13855	40031
542	13886	40021
543	13917	40012
544	13944	39990
545	13971	39969
546	13998	39946
547	14025	39925
548	14053	39906
549	14081	39888
550	14110	39872
551	14139	39857
552	14169	39842
553	14197	39824
554	14227	39811
555	14254	39790
556	14284	39777
557	14316	39768
558	14345	39751
559	14375	39737
560	14405	39724
561	14434	39707
562	14459	39680
563	14487	39661
564	14518	39649
565	14545	39628
566	14575	39613
567	14605	39600
568	14634	39583
569	14663	39565
570	14694	39555
571	14724	39540
572	14754	39526
573	14784	39510
574	14814	39497
